ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone Xs,verizon,256 GB,space gray,760.65,"Good Condition! Phone is From Verizon,and it also Unlocked for any GSM Carrier in the Worldwide!The Screen has some scratches.The Housing has few scratches.The Back also has some scratches too.Overall,I rate this phone is Good Condition,7-7.5/10. Phone comes Box,Charger with Cable and Earphone!"
iPhone Xs Max,at&t,64 GB,space gray,632,"Good Condition and ready for AT&T only! Not eligible for Unlock by AT&T at this moment (installment unpaid)! and it is not unlocked for any Other Carrier too! !The Screen has some scratches.The Housing has few scratches.The Back also has some scratches too.Overall,I still rate this phone is Good Condition,8/10. Phone comes Box,Charger with Cable and Earphone!"
iPhone 6s Plus,unlocked,64 GB,gold,175,This is a used phone in perfect working condition. Display glass on the front bottom right corner is dent as shown in the picture.
iPhone 7,at&t,32 GB,rose gold,57,iphone 7 Rose Gold. does not turn on. Case in good Condition. SOLD AS IS
iPhone 5s,unlocked,32 GB,gray,40,screen doesn't have any cracks or scratches. Phone does not have cpu. Can be used with any carrier when new cpu put in.
iPhone 6s,sprint,32 GB,space gray,81,"This item is used and in good condition. The phone does power on and is working as it should. There are some scratches and marks on the screen and back from typical use. The box, manual and charger are not included. The ESN has been checked and is clean. Please see photos fro phone information including the IMEI."
iPhone 6s Plus,unlocked,16 GB,gold,125,"Phone works great but with two issues:  The main camera does not function (front selfie camera works fine) and the touch ID (fingerprint feature) does not work. The home button works fine, just not the fingerprint feature.  Other than those two issues, the phone is 100% functional. Casing has some normal wear but the screen glass looks new. See photos. This phone is unlocked for use on GSM networks worldwide, including T-Mobile, Orange, Metro PCS, AT&T, H2O, Ultra.me, Family, Simple, Vodafone, and many others. It will NOT work on CDMA carriers such as Tracfone, Verizon and Sprint.  This auction is for the phone only -- the charger and SIM card are not included."
iPhone 6,unlocked,16 GB,gray,77,Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera Glass
iPhone 6,t-mobile,64 GB,gray,89.99,Iphone works just like new. Just has a cosmetic crack on screen as shown in third and last picture. Does NOT affect working order of phone. You can get this fixed for cheap if you like!
iPhone 8 Plus,at&t,256 GB,silver,305,"THIS DEVICE HAS SMALL DAMAGE ON THE SCREEN, IS WORKING IN ITS ENTIRE. BAD ESN AND IS 256GB MEMORY..  PLEASE TAKE A GOOD LOOK AT THE PHOTOS. THANK YOU"
iPhone 6,verizon,64 GB,silver,71,Used but very nice. Charger cable is loose in the lightning port. See description.
iPhone 7,sprint,32 GB,rose gold,100,Ships with items specifically pictured. See pictures and description.
iPhone 6s,verizon,32 GB,space gray,145,"Fully functional and tested iPhone has been gently used and well cared for.  It has been used by a professional, non-smoking adult. This phone is unlocked* -this means it has had the iTunes Activation, iCloud, and Find My iPhone locks cleared before performing a factory reset to factory defaults. The new owner can run the initial setup just like a new phone. Clear IMEI (see pic). It has had an Otterbox Commuter case (included) protecting it since it was purchased as well as a Zagg screen protector (removed) so the glass looks like new.  Pictures shown are of the actual phone that is for sale .  Please see photos to confirm that phone is in EXCELLENT CONDITION and really looks like new.  Battery Health states 97% so lots of life left. You can't get much newer. Winning bidder will receive the iPhone 6s, an Otterbox Commuter protective case, wall charger, lightning data/charging cable, NEW factory-sealed ear bud headphones, and original box. Sim included. Used on Verizon's network in USA."
iPhone 6,verizon,64 GB,silver,88,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone XR,at&t,128 GB,black,536,"Kept in case, un used and always have tempered glass. IN FLAWLESS CONDITION. COMES WITH EVERYTHING!!"
iPhone 7,verizon,32 GB,rose gold,178.5,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 6s,at&t,16 GB,silver,39,This item was adult owned and always in a case and screen protector. The phone worked correctly when I stopped using it but does have a Bad Battery.  After 4 – 5 hours of use the battery shows less than 20% left. It was my personal phone.  I am not a dealer.
iPhone Xs Max,verizon,256 GB,gold,800,"iPhone XS Max 256GB Gold for Verizon, Verizon iPhone's come unlocked.Clean IMEI, comes with box and all accessories."
iPhone XR,unlocked,64 GB,red,550,This iPhone XR is in nearly new condition.   Used less than 3 weeks.
iPhone 6 Plus,unlocked,64 GB,gold,150.5,"Gently Used - Tested Working and Functional with ISSUE. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. ISSUE: Fingerprint ID / Touch ID is Not Functional. Home Button is Functional AS Normal. SOLD AS IS."
iPhone 6 Plus,unlocked,64 GB,gold,51,"This iPhone has been tested and will not power on. The device was unable to be tested for any other issues. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 7,unlocked,32 GB,gold,143.49,"Gently Used - Tested Working and Functional with ISSUE. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. ISSUE: Earpiece, Mic and Speaker are Defective and Not Functional. SOLD AS IS."
iPhone 6 Plus,unlocked,64 GB,silver,82,"This iPhone has been tested and has a bad proximity sensor. Multiple attempts to replace the proximity sensor were made.  This is a board level repair and will require micro-soldering. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 7 Plus,verizon,128 GB,red,261,Great used condition with a flawless screen.  Housing has several marks on it.  Please see pictures.  100% fully functional.  Clean IMEI.  No iCloud lock.
iPhone X,t-mobile,64 GB,silver,600,Excellent used condition with just a light hard to see scratch on screen.  Back and bezel have a couple marks.  100% fully functional.  No iCloud lock.  No Blacklist.  For T-Mobile.
iPhone 6s,verizon,16 GB,gold,9.5,Screen Ok with a small hairline fracture by the button. Activation Lock.
iPhone 6 Plus,unlocked,64 GB,silver,72,"This iPhone has been tested and has a bad backlight. A screen change was made but did not repair the issue.  This is a board level repair and will require micro-soldering. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 6 Plus,unlocked,64 GB,space gray,72,"This iPhone has been tested and has a bad WiFi Module. This is a board level issue and will require micro-soldering to repair. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 8 Plus,unlocked,64 GB,silver,272,"This iPhone has been tested and has a bad WiFi Module. This device has a greyed WiFi.  This is a board level issue and will require micro-soldering to repair this issue. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 4S,unlocked,16 GB,white,12.5,"Good used condition, works, and charges but the power button does not work.  Assistive touch has been set to allow proper functioning."
iPhone 8,unlocked,64 GB,space gray,203,"This iPhone has been tested and has a bad tristar IC. This is a board level repair and will require micro-soldering.  For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 6,unlocked,16 GB,silver,93,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7,at&t,128 GB,rose gold,154.5,Please read the description below for exact details about the issues with this device. The device has the following issues: Poor Battery
iPhone 7 Plus,unlocked,128 GB,rose gold,275,"Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera Glass, Cracked Screen, LCD Damage"
iPhone 6,at&t,64 GB,gray,129.99,"iPhone is in excellent shape! the screen has no scratches, the phone works great, the carrier is at&t. if you have any questions at all feel free to send me a message thanks!"
iPhone 6,unlocked,64 GB,gray,101,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,32 GB,space gray,137.5,"in good condition perfectly working, back and sides without scratches while the screen has some little scraches, I didn't take a picture of the screen without screen protector but if you want one i can make it, but the phone is gona be sold without screen protector, maximum battery capacity 88%. the box is not the one that came with the phone, i bought it later because I lost the original"
iPhone 5,unlocked,32 GB,black,42,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6,unlocked,16 GB,gold,51,The phone works good but DEAD BATTERY and BROKEN LCD Screen as you see on the picture.
iPhone 7,at&t,128 GB,jet black,159,"Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera Glass, Cracked Screen, Headphone Jack, Siri Mic, Speaker Phone Mic"
iPhone 6s Plus,unlocked,64 GB,space gray,152.5,"Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera, Cracked Screen"
iPhone 5s,unlocked,16 GB,gray,41.1,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7,sprint,32 GB,rose gold,132.5,Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen
iPhone SE,unlocked,64 GB,space gray,84,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7,unlocked,256 GB,rose gold,142.5,Please read the description below for exact details about the issues with this device. The device has the following issues: Cell Reception
iPhone 5s,unlocked,16 GB,gold,43,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6,unlocked,16 GB,gray,83,"Please read the description below for exact details about the issues with this device. The device has the following issues: Screen Separation, Slight Bend"
iPhone 7 Plus,unlocked,256 GB,red,164.39,"This iPhone has been tested and the front and rear camera are bad. This is a bad Camera LDO IC. For this reason, we are selling this item as is for parts or repair. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included.Original packaging is NOT includedVerizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 7 Plus,unlocked,128 GB,gold,117.5,"This iPhone has been tested and is locked to an Apple iCloud account. The device was unable to be tested for any other issues.  For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone XR,t-mobile,64 GB,white,199.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:
iPhone 7 Plus,unlocked,128 GB,gold,143.5,"This iPhone has been tested and has a bad camera LDO. An attempt to replace the back camera was made. This is a board level issue and will require micro-soldering to repair this issue. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 6 Plus,unlocked,64 GB,gold,71,"This iPhone has been tested and has a greyed out wifi. This issue is the WiFi module and is a board level repair.  For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 7 Plus,unlocked,128 GB,red,80,"Previously owned. Powers on. Working, but has a bad IMEI and is iCloud locked. Screen is in good shape; no cracks but a few scratches. Some small chips/ damage on bottom edge of glass. Several dings and scuffs around edges and corners. Scuffs and scratches on back. Lens glass is in good shape. Please view all images, as they are part of item's description."
iPhone 7,unlocked,256 GB,gold,285,Ready for activation. Excellent cosmetic. Coming with charger and cable. Fully functional. Will work on any network in the USA and worldwide.
iPhone 7,unlocked,32 GB,black,167.5,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. NOTE: Cosmetic Condition."
iPhone 5c,unlocked,8 GB,yellow,46.1,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone SE,unlocked,64 GB,space gray,117.5,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone SE,unlocked,128 GB,space gray,132.5,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7 Plus,unlocked,128 GB,rose gold,143.5,"This iPhone has been tested and has a bad backlight. A screen change was made but did not repair the issue.  This is a board level repair and will require micro-soldering. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 6,at&t,64 GB,gray,81.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8 Plus,at&t,64 GB,red,305,Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Back Glass
iPhone X,at&t,256 GB,space gray,501,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs,sprint,64 GB,space gray,560,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7,unlocked,128 GB,black,229,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Housing Wear - Moderate, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7,at&t,256 GB,black,237.5,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Housing Wear - Moderate, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7,at&t,256 GB,jet black,198.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8,t-mobile,64 GB,gold,240.5,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone SE,at&t,64 GB,rose gold,91,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Light iPhone Halo, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs Max,at&t,64 GB,silver,575,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone SE,verizon,16 GB,rose gold,60,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone XR,at&t,64 GB,white,445,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s Plus,at&t,16 GB,rose gold,127.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7 Plus,sprint,32 GB,black,187.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s Plus,verizon,64 GB,space gray,162.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6 Plus,verizon,64 GB,space gray,168.49,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs Max,at&t,64 GB,gold,599,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8,at&t,64 GB,space gray,268,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6 Plus,at&t,64 GB,gold,148.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 8,verizon,256 GB,gold,325,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6 Plus,at&t,16 GB,space gray,113.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7,unlocked,32 GB,black,180.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,unlocked,64 GB,gold,115,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6 Plus,verizon,16 GB,silver,125.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,verizon,64 GB,rose gold,131.98,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s Plus,at&t,64 GB,gold,157.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,at&t,128 GB,space gray,110.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light, Light Bright Spots. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,at&t,64 GB,gold,108.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6,verizon,16 GB,gray,73,Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen
iPhone Xs Max,unlocked,64 GB,gold,831,"Please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Listing comes with a Used battery, back cover, USB wall adapter, charge/data cable, include original accessories. Tested for key functionality: R2/Ready for resale."
iPhone 8 Plus,sprint,64 GB,silver,337,"This device is in Good Condition. These are normal used condition devices with signs of wear. Examples are small dings or light scratching. Please see photos for details. All functionalities have been rigorously tested, and this device is confirmed to be 100% fully functional."
iPhone 5,verizon,32 GB,white,29.99,"Used- possible battery issues. Phone only, no cords, earbuds. block or box.  Does include brand new screen protector."
iPhone X,verizon,256 GB,space gray,645.01,"Absolutely nothing wrong with this phone. No scratches or dents. Just had the screen replaced and plastic is still on it. Upgraded to plus size so selling this one. Comes with original box, headphones, and charger. LIKE NEW. Condition is PERFECT."
iPhone 8,unlocked,64 GB,gold,350,This item is used but in perfect condition. The screen is flawless. The phone has had a case on it since day one. No nicks or anything. The blue case is perfect and has a credit card holder. The leather Apple case has some wear but it's a tank! Check the photos!!
iPhone 6,unlocked,16 GB,gold,84,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6,unlocked,16 GB,silver,89,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6 Plus,unlocked,16 GB,gold,151.5,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*."
iPhone SE,verizon,16 GB,space gray,56,Phone is in good condition. Has a few scratches and one chip on the screen. I used the phone for a little over 2 years. Still works great. No charger or earbuds included. Just original box.
iPhone 8,unlocked,64 GB,space gray,355,"Pretty good condition, some light screen blemishes which are barely visible."
iPhone 6,unlocked,64 GB,gray,88,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,32 GB,rose gold,113.5,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*."
iPhone SE,unlocked,64 GB,silver,98,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*."
iPhone 5c,sprint,16 GB,white,31,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Light iPhone Halo, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone SE,sprint,64 GB,rose gold,61,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy, Light Bright Spots, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5,verizon,16 GB,black,31,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5,verizon,32 GB,black,46,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Housing Wear - Moderate, Display Lens Wear - Light, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7 Plus,at&t,256 GB,silver,345,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6,at&t,64 GB,silver,86.99,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6,at&t,128 GB,gray,100,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5,at&t,16 GB,white,27,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Light iPhone Halo, Housing Wear - Moderate. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5s,unlocked,16 GB,gold,62,"In Good condition, very minor imperfections. Current software Version 12.3.1. No box, comes as pictured."
iPhone XR,unlocked,64 GB,white,602,"I bought this phone two weeks ago during an emergency, ended up not needing it because i can upgrade through my phone service. There are multiple shallow scratches on the screen. there are slight scuffs on the sides of the phone barely noticeable. The phone is used and is sold as such, i do not take returns if you don't understand that."
iPhone 8,verizon,256 GB,space gray,222.5,"This unit has been data wiped and restored to default factory settings. This unit has a cracked and inoperable Home Button. This unit includes the AC Adapter, Lightning Cable, Earphones, and 3.5mm Adapter. This unit comes packaged in its original box."
iPhone XR,at&t,64 GB,coral,760,"This device is in Good Condition. These are normal used condition devices with signs of wear. Examples are small dings or light scratching. Please see photos for details. All functionalities have been rigorously tested, and this device is confirmed to be 100% fully functional."
iPhone 6s,unlocked,32 GB,rose gold,129.5,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7,at&t,32 GB,black,103.5,"Please read the description below for exact details about the issues with this device. The device has the following issues: Home Button, Touch ID"
